name,phone,group,status
jaque,403278880,1,confirmed
leh,403278881,1,confirmed
Andressa,403278882,2,absent
canela,403278883,2,absent
lele,403278884,3,absent
jean,403278885,3,absent
Andressa,403278886,4,absent
Owen,403278887,4,absent
leide,403278888,5,pending
Jessica,403278889,5,pending
lace,403278890,5,pending
Lu,403278891,6,pending
boy da Lu,403278892,6,pending
Aninha,403278893,7,pending
Kenia,403278894,8,pending
zoran,403278895,8,pending
Deyna,403278896,9,pending
boy Deyna,403278897,9,pending
Renato,403278898,10,pending
girl do Renato,403278899,10,pending
Thais,403278900,11,pending
gui,403278901,11,pending
Karen,403278902,12,pending
Renis,403278903,12,absent
Saidy,403278904,13,absent
